competency_id,exercise_id
200,11657
548,11657
457,11659
611,11667
613,11667
614,11667
200,11758
548,11758
536,11768
538,11791
537,11906
183,12042
485,12042
183,12043
485,12043
184,12044
441,12044
611,12045
613,12045
614,12045
184,12253
441,12253
184,12254
441,12254
184,12255
441,12255
184,12256
441,12256
192,12257
550,12257
184,12259
441,12259
196,12384
553,12384
181,12394
183,12394
191,12394
202,12533
202,12534
186,12614
187,12614
529,12614
608,12623
622,12623
588,12623
588,12625
611,12709
613,12709
614,12709
202,12890
203,12891
181,12904
183,12904
191,12904
181,14853
183,14853
185,14853
489,14920
457,14967
611,15063
613,15063
614,15063
192,15342
550,15342
536,15462
538,15464
537,15465
537,15467
187,15467
530,15467
202,15644
608,15739
622,15739
588,15739
203,15745
574,15789
575,15789
581,15789
186,15791
187,15791
529,15791
588,15796
611,16636
613,16636
614,16636
611,16637
613,16637
614,16637
611,16643
613,16643
614,16643
610,16844
618,16995
579,16998
573,17000
531,16483
181,16484
183,16484
191,16484
181,16485
183,16485
191,16485
531,16520
574,16530
575,16530
581,16530
181,16533
183,16533
191,16533
